field_id,crop,mae,rmse,corr,bias,skill_score
CA_132720,61,0.74,0.86,0.53,-0.7,0.49
CA_133674,69,0.91,1.11,-0.25,0.73,-1.37
CA_133883,69,0.73,0.86,-0.25,0.6,0.48
CA_134009,69,0.68,0.85,-0.23,0.17,-0.44
CA_134482,69,0.71,0.84,0.11,0.56,0.64
CA_134803,69,0.61,0.83,-0.58,-0.32,0.63
CA_135342,69,1.04,1.21,-0.25,0.39,0.04
CA_136233,141,1.08,1.3,0.34,0.69,-0.75
CA_136312,69,2.06,2.29,-0.46,1.96,-3.15
CA_137260,176,2.65,2.83,0.02,2.65,-0.84
CA_137908,241,0.33,0.4,0.93,-0.32,0.98
CA_138089,176,1.33,1.71,0.31,1.17,0.02
CA_139701,47,0.48,0.55,0.82,-0.08,0.89
CA_140561,66,0.7,0.82,0.35,0.25,0.92
CA_140665,241,2.29,2.48,-0.21,-2.29,-3.29
CA_141887,61,0.99,1.13,-0.43,0.99,0.4
CA_142793,3,0.84,1.1,0.13,0.38,0.88
CA_143092,3,4.46,4.48,-0.03,-4.46,-4.61
CA_143271,3,1.97,2.52,-0.09,-1.14,-1.04
CA_144104,3,0.46,0.57,-0.11,0.41,0.69
CA_14419,69,0.44,0.48,0.67,-0.36,0.98
CA_145027,47,0.63,0.71,-0.13,-0.32,0.87
CA_145664,47,0.67,0.84,0.48,0.47,0.19
CA_146308,67,0.71,0.92,-0.17,-0.19,0.74
CA_147819,76,0.41,0.48,-0.0,-0.38,0.96
CA_149265,61,0.73,1.19,-0.13,0.35,0.7
CA_149305,47,0.63,0.79,-0.19,0.14,0.89
CA_149799,47,1.02,1.43,-0.27,-0.34,-4.08
CA_150220,36,1.93,2.18,0.44,1.85,-13.21
CA_150456,47,1.2,1.38,0.6,0.7,0.71
CA_150636,36,2.26,2.35,0.78,2.26,-3.57
CA_150688,176,0.48,0.58,0.42,0.25,0.92
CA_151019,36,0.52,0.67,0.71,-0.32,0.85
CA_151516,3,2.26,2.41,0.18,2.24,0.67
CA_152508,66,0.4,0.49,-0.44,-0.3,0.28
CA_152516,61,0.72,0.89,0.46,0.67,0.31
CA_152680,72,0.66,0.86,0.06,0.5,-1.24
CA_15309,69,0.78,0.91,0.17,0.76,-0.88
