field_id,crop,time,et_actual,et_forecast
CA_192944,176,2023-05-01,128.664,128.664
CA_192944,176,2023-04-01,92.328,92.328
CA_192944,176,2023-03-01,44.107,44.107
CA_192944,176,2023-02-01,34.876,34.876
CA_192944,176,2023-01-01,21.144,21.144
CA_344981,176,2023-12-01,22.514,16.606
CA_344981,176,2023-11-01,40.629,37.125
CA_344981,176,2023-10-01,85.577,93.673
CA_344981,176,2023-09-01,110.514,133.168
CA_344981,176,2023-08-01,173.352,179.566
CA_344981,176,2023-07-01,215.371,204.134
CA_344981,176,2023-06-01,177.004,177.004
CA_344981,176,2023-05-01,144.742,144.742
CA_344981,176,2023-04-01,102.6,102.6
CA_344981,176,2023-03-01,59.055,59.055
CA_344981,176,2023-02-01,41.241,41.241
CA_344981,176,2023-01-01,30.006,30.006
CA_346051,176,2023-12-01,17.38,11.935
CA_346051,176,2023-11-01,29.487,26.605
CA_346051,176,2023-10-01,69.275,80.929
CA_346051,176,2023-09-01,99.654,117.503
CA_346051,176,2023-08-01,153.314,158.322
CA_346051,176,2023-07-01,200.069,185.759
CA_346051,176,2023-06-01,162.536,162.536
CA_346051,176,2023-05-01,131.177,131.177
CA_346051,176,2023-04-01,87.874,87.874
CA_346051,176,2023-03-01,46.559,46.559
CA_346051,176,2023-02-01,29.74,29.74
CA_346051,176,2023-01-01,23.521,23.521
CA_188163,176,2023-12-01,35.144,26.21
CA_188163,176,2023-11-01,57.808,56.428
CA_188163,176,2023-10-01,102.857,111.113
CA_188163,176,2023-09-01,123.574,146.331
CA_188163,176,2023-08-01,181.388,193.562
CA_188163,176,2023-07-01,215.297,210.087
CA_188163,176,2023-06-01,182.044,182.044
CA_188163,176,2023-05-01,156.8,156.8
CA_188163,176,2023-04-01,130.066,130.066
CA_188163,176,2023-03-01,66.358,66.358
CA_188163,176,2023-02-01,54.865,54.865
CA_188163,176,2023-01-01,53.431,53.431
CA_188282,176,2023-12-01,32.115,22.986
CA_188282,176,2023-11-01,55.242,54.921
CA_188282,176,2023-10-01,99.001,105.743
CA_188282,176,2023-09-01,119.996,143.474
CA_188282,176,2023-08-01,174.248,189.557
CA_188282,176,2023-07-01,210.77,207.008
CA_188282,176,2023-06-01,179.932,179.932
CA_188282,176,2023-05-01,156.997,156.997
CA_188282,176,2023-04-01,129.341,129.341
CA_188282,176,2023-03-01,64.919,64.919
CA_188282,176,2023-02-01,49.868,49.868
CA_188282,176,2023-01-01,48.164,48.164
CA_216205,176,2023-12-01,19.508,13.055
CA_216205,176,2023-11-01,33.73,33.142
CA_216205,176,2023-10-01,81.355,91.494
CA_216205,176,2023-09-01,103.362,125.717
CA_216205,176,2023-08-01,160.957,170.714
CA_216205,176,2023-07-01,204.389,190.431
CA_216205,176,2023-06-01,156.628,156.628
CA_216205,176,2023-05-01,133.682,133.682
CA_216205,176,2023-04-01,98.247,98.247
CA_216205,176,2023-03-01,45.963,45.963
CA_216205,176,2023-02-01,36.275,36.275
CA_216205,176,2023-01-01,22.674,22.674
CA_216615,176,2023-12-01,24.052,15.158
CA_216615,176,2023-11-01,35.383,32.959
CA_216615,176,2023-10-01,80.943,86.888
CA_216615,176,2023-09-01,102.099,122.044
CA_216615,176,2023-08-01,154.15,160.914
CA_216615,176,2023-07-01,194.907,184.695
CA_216615,176,2023-06-01,153.015,153.015
CA_216615,176,2023-05-01,129.904,129.904
CA_216615,176,2023-04-01,96.489,96.489
CA_216615,176,2023-03-01,46.694,46.694
CA_216615,176,2023-02-01,37.549,37.549
CA_216615,176,2023-01-01,27.435,27.435
CA_218007,176,2023-12-01,29.653,19.587
CA_218007,176,2023-11-01,40.883,33.652
CA_218007,176,2023-10-01,81.134,85.356
CA_218007,176,2023-09-01,111.6,133.146
CA_218007,176,2023-08-01,160.426,182.409
CA_218007,176,2023-07-01,219.692,216.08
CA_218007,176,2023-06-01,147.663,147.663
CA_218007,176,2023-05-01,129.215,129.215
CA_218007,176,2023-04-01,99.847,99.847
CA_218007,176,2023-03-01,53.844,53.844
CA_218007,176,2023-02-01,43.353,43.353
CA_218007,176,2023-01-01,28.395,28.395
CA_221043,176,2023-12-01,26.584,22.077
CA_221043,176,2023-11-01,31.892,26.832
CA_221043,176,2023-10-01,52.371,56.651
CA_221043,176,2023-09-01,60.891,69.01
CA_221043,176,2023-08-01,88.963,77.633
CA_221043,176,2023-07-01,98.634,90.681
CA_221043,176,2023-06-01,86.603,86.603
CA_221043,176,2023-05-01,93.661,93.661
CA_221043,176,2023-04-01,57.498,57.498
CA_221043,176,2023-03-01,45.514,45.514
CA_221043,176,2023-02-01,32.234,32.234
CA_221043,176,2023-01-01,35.478,35.478
CA_240061,176,2023-12-01,35.144,26.21
CA_240061,176,2023-11-01,57.808,56.428
CA_240061,176,2023-10-01,102.857,111.113
CA_240061,176,2023-09-01,123.574,146.331
CA_240061,176,2023-08-01,181.388,193.562
CA_240061,176,2023-07-01,215.297,210.087
CA_240061,176,2023-06-01,182.044,182.044
CA_240061,176,2023-05-01,156.8,156.8
CA_240061,176,2023-04-01,130.066,130.066
CA_240061,176,2023-03-01,66.358,66.358
CA_240061,176,2023-02-01,54.865,54.865
CA_240061,176,2023-01-01,53.431,53.431
CA_243548,176,2023-12-01,31.051,24.36
CA_243548,176,2023-11-01,46.709,46.297
CA_243548,176,2023-10-01,88.242,97.138
CA_243548,176,2023-09-01,110.224,135.592
CA_243548,176,2023-08-01,171.078,185.294
CA_243548,176,2023-07-01,207.55,198.792
CA_243548,176,2023-06-01,176.796,176.796
CA_243548,176,2023-05-01,148.686,148.686
CA_243548,176,2023-04-01,116.367,116.367
CA_243548,176,2023-03-01,61.228,61.228
CA_243548,176,2023-02-01,50.033,50.033
CA_243548,176,2023-01-01,48.893,48.893
CA_219484,220,2023-12-01,33.641,26.672
CA_219484,220,2023-11-01,51.701,50.379
CA_219484,220,2023-10-01,93.4,102.28
CA_219484,220,2023-09-01,114.845,139.432
CA_219484,220,2023-08-01,174.102,187.888
CA_219484,220,2023-07-01,211.274,203.71
CA_219484,220,2023-06-01,180.244,180.244
CA_219484,220,2023-05-01,153.06,153.06
CA_219484,220,2023-04-01,121.404,121.404
CA_219484,220,2023-03-01,65.274,65.274
CA_219484,220,2023-02-01,53.634,53.634
CA_219484,220,2023-01-01,52.432,52.432
CA_185399,47,2023-12-01,33.36,23.573
CA_185399,47,2023-11-01,58.186,58.512
CA_185399,47,2023-10-01,105.277,115.023
CA_185399,47,2023-09-01,123.344,152.768
CA_185399,47,2023-08-01,179.185,197.363
CA_185399,47,2023-07-01,218.434,217.93
CA_185399,47,2023-06-01,186.395,186.395
CA_185399,47,2023-05-01,162.458,162.458
CA_185399,47,2023-04-01,131.172,131.172
CA_185399,47,2023-03-01,64.73,64.73
CA_185399,47,2023-02-01,52.241,52.241
CA_185399,47,2023-01-01,48.777,48.777
CA_218428,47,2023-12-01,27.931,17.333
CA_218428,47,2023-11-01,45.99,43.884
CA_218428,47,2023-10-01,84.674,86.026
CA_218428,47,2023-09-01,106.277,127.403
CA_218428,47,2023-08-01,161.516,174.179
CA_218428,47,2023-07-01,191.058,194.682
CA_218428,47,2023-06-01,163.12,163.12
CA_218428,47,2023-05-01,145.785,145.785
CA_218428,47,2023-04-01,116.625,116.625
CA_218428,47,2023-03-01,59.334,59.334
CA_218428,47,2023-02-01,41.683,41.683
CA_218428,47,2023-01-01,37.791,37.791
CA_218496,141,2023-12-01,31.742,19.098
CA_218496,141,2023-11-01,49.726,48.893
CA_218496,141,2023-10-01,91.497,94.415
CA_218496,141,2023-09-01,110.963,135.293
CA_218496,141,2023-08-01,167.482,181.137
CA_218496,141,2023-07-01,199.672,201.947
CA_218496,141,2023-06-01,169.093,169.093
CA_218496,141,2023-05-01,151.325,151.325
CA_218496,141,2023-04-01,122.23,122.23
CA_218496,141,2023-03-01,59.444,59.444
CA_218496,141,2023-02-01,44.669,44.669
CA_218496,141,2023-01-01,43.215,43.215
CA_195055,3,2023-12-01,40.986,28.421
CA_195055,3,2023-11-01,66.031,64.869
CA_195055,3,2023-10-01,110.493,115.773
CA_195055,3,2023-09-01,119.335,153.431
CA_195055,3,2023-08-01,181.3,199.268
CA_195055,3,2023-07-01,201.478,214.054
CA_195055,3,2023-06-01,178.798,178.798
CA_195055,3,2023-05-01,165.931,165.931
CA_195055,3,2023-04-01,144.882,144.882
CA_195055,3,2023-03-01,74.423,74.423
CA_195055,3,2023-02-01,62.597,62.597
CA_195055,3,2023-01-01,51.94,51.94
CA_195552,3,2023-12-01,36.971,24.647
CA_195552,3,2023-11-01,59.042,57.446
CA_195552,3,2023-10-01,100.629,104.182
CA_195552,3,2023-09-01,113.098,142.309
CA_195552,3,2023-08-01,171.187,188.852
CA_195552,3,2023-07-01,194.292,208.031
CA_195552,3,2023-06-01,173.119,173.119
CA_195552,3,2023-05-01,160.217,160.217
CA_195552,3,2023-04-01,136.402,136.402
CA_195552,3,2023-03-01,70.553,70.553
CA_195552,3,2023-02-01,55.246,55.246
CA_195552,3,2023-01-01,47.073,47.073
CA_196039,3,2023-12-01,40.946,28.199
CA_196039,3,2023-11-01,65.589,64.422
CA_196039,3,2023-10-01,111.237,116.249
CA_196039,3,2023-09-01,119.125,152.265
CA_196039,3,2023-08-01,180.962,199.807
CA_196039,3,2023-07-01,202.184,215.873
CA_196039,3,2023-06-01,180.472,180.472
CA_196039,3,2023-05-01,167.059,167.059
CA_196039,3,2023-04-01,146.119,146.119
CA_196039,3,2023-03-01,74.111,74.111
CA_196039,3,2023-02-01,61.049,61.049
CA_196039,3,2023-01-01,51.977,51.977
CA_201209,3,2023-12-01,27.155,19.119
CA_201209,3,2023-11-01,44.352,40.583
CA_201209,3,2023-10-01,79.384,79.217
CA_201209,3,2023-09-01,107.372,125.337
CA_201209,3,2023-08-01,156.441,168.776
CA_201209,3,2023-07-01,183.078,194.831
CA_201209,3,2023-06-01,165.916,165.916
CA_201209,3,2023-05-01,149.695,149.695
CA_201209,3,2023-04-01,122.011,122.011
CA_201209,3,2023-03-01,66.059,66.059
CA_201209,3,2023-02-01,44.003,44.003
CA_201209,3,2023-01-01,37.936,37.936
CA_205074,3,2023-12-01,27.681,19.192
CA_205074,3,2023-11-01,43.992,40.73
CA_205074,3,2023-10-01,79.171,77.83
CA_205074,3,2023-09-01,109.065,126.299
CA_205074,3,2023-08-01,159.293,170.56
CA_205074,3,2023-07-01,187.028,195.897
CA_205074,3,2023-06-01,166.366,166.366
CA_205074,3,2023-05-01,149.571,149.571
CA_205074,3,2023-04-01,122.066,122.066
CA_205074,3,2023-03-01,66.468,66.468
CA_205074,3,2023-02-01,44.099,44.099
CA_205074,3,2023-01-01,38.621,38.621
CA_206394,3,2023-12-01,36.45,23.28
CA_206394,3,2023-11-01,57.382,57.052
CA_206394,3,2023-10-01,99.111,108.463
CA_206394,3,2023-09-01,110.396,141.129
CA_206394,3,2023-08-01,164.718,182.939
CA_206394,3,2023-07-01,175.723,188.675
CA_206394,3,2023-06-01,161.981,161.981
CA_206394,3,2023-05-01,155.993,155.993
CA_206394,3,2023-04-01,137.853,137.853
CA_206394,3,2023-03-01,72.018,72.018
CA_206394,3,2023-02-01,53.384,53.384
CA_206394,3,2023-01-01,42.933,42.933
CA_207283,3,2023-12-01,36.45,23.28
CA_207283,3,2023-11-01,57.382,57.052
CA_207283,3,2023-10-01,99.111,108.463
CA_207283,3,2023-09-01,110.396,141.129
CA_207283,3,2023-08-01,164.718,182.939
CA_207283,3,2023-07-01,175.723,188.675
CA_207283,3,2023-06-01,161.981,161.981
CA_207283,3,2023-05-01,155.993,155.993
CA_207283,3,2023-04-01,137.853,137.853
CA_207283,3,2023-03-01,72.018,72.018
CA_207283,3,2023-02-01,53.384,53.384
CA_207283,3,2023-01-01,42.933,42.933
CA_207336,3,2023-12-01,36.49,23.761
CA_207336,3,2023-11-01,58.897,58.486
CA_207336,3,2023-10-01,102.529,108.565
CA_207336,3,2023-09-01,114.128,145.926
CA_207336,3,2023-08-01,173.808,189.152
CA_207336,3,2023-07-01,190.173,199.593
CA_207336,3,2023-06-01,168.057,168.057
CA_207336,3,2023-05-01,158.433,158.433
CA_207336,3,2023-04-01,138.45,138.45
CA_207336,3,2023-03-01,72.44,72.44
CA_207336,3,2023-02-01,54.664,54.664
CA_207336,3,2023-01-01,44.951,44.951
CA_194654,3,2023-12-01,41.823,28.634
CA_194654,3,2023-11-01,67.583,66.419
CA_194654,3,2023-10-01,112.22,118.31
CA_194654,3,2023-09-01,120.857,156.379
CA_194654,3,2023-08-01,184.621,203.245
CA_194654,3,2023-07-01,204.302,218.348
CA_194654,3,2023-06-01,180.525,180.525
CA_194654,3,2023-05-01,168.473,168.473
CA_194654,3,2023-04-01,146.254,146.254
CA_194654,3,2023-03-01,75.122,75.122
CA_194654,3,2023-02-01,62.471,62.471
CA_194654,3,2023-01-01,52.246,52.246
CA_196217,3,2023-12-01,39.5,27.373
CA_196217,3,2023-11-01,64.015,63.682
CA_196217,3,2023-10-01,107.018,113.241
CA_196217,3,2023-09-01,118.395,152.691
CA_196217,3,2023-08-01,180.459,199.231
CA_196217,3,2023-07-01,201.294,214.997
CA_196217,3,2023-06-01,175.768,175.768
CA_196217,3,2023-05-01,164.86,164.86
CA_196217,3,2023-04-01,142.343,142.343
CA_196217,3,2023-03-01,73.926,73.926
CA_196217,3,2023-02-01,60.42,60.42
CA_196217,3,2023-01-01,49.646,49.646
CA_196350,3,2023-12-01,36.632,25.124
CA_196350,3,2023-11-01,59.914,58.321
CA_196350,3,2023-10-01,100.469,104.798
CA_196350,3,2023-09-01,113.763,144.084
CA_196350,3,2023-08-01,173.216,190.815
