forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,c_mae,c_bias,variable
2024-01-08,85,CA_37674,47,0.05,0.12,0.58,-0.04,-0.26,0.2176666666666667,,ETo
2024-01-08,86,CA_37683,61,0.04,0.1,0.88,0.0,0.44,0.29740740740740745,,ETo
2024-01-08,87,CA_37890,241,0.05,0.13,0.2,-0.04,-0.43,0.22237037037037044,,ETo
2024-01-08,88,CA_38650,47,0.04,0.09,0.99,-0.02,0.53,0.2631111111111111,,ETo
2024-01-08,89,CA_38734,204,0.05,0.13,0.09,-0.04,-0.27,0.23561111111111113,,ETo
2024-01-08,90,CA_38912,69,0.05,0.12,0.37,-0.05,-0.46,0.20168518518518522,,ETo
2024-01-08,91,CA_39031,69,0.04,0.11,0.46,-0.04,-0.32,0.1905555555555555,,ETo
2024-01-08,92,CA_39032,69,0.05,0.12,0.58,-0.04,-0.26,0.2176666666666667,,ETo
2024-01-08,93,CA_39770,69,0.04,0.11,0.71,-0.03,0.35,0.2729444444444444,,ETo
2024-01-08,94,CA_40009,69,0.06,0.16,0.03,-0.05,-0.44,0.2673703703703704,,ETo
2024-01-08,95,CA_41244,69,0.05,0.15,0.96,-0.04,0.03,0.28005555555555556,,ETo
2024-01-08,96,CA_41458,69,0.05,0.13,-0.13,-0.03,-0.02,0.2646296296296296,,ETo
2024-01-08,97,CA_41682,69,0.04,0.09,0.86,0.01,0.43,0.25183333333333335,,ETo
2024-01-08,98,CA_42021,69,0.03,0.08,0.88,-0.03,0.51,0.24561111111111114,,ETo
2024-01-08,99,CA_42143,69,0.05,0.12,0.45,-0.05,-0.33,0.21650000000000003,,ETo
2024-01-08,100,CA_298397,75,0.04,0.06,0.54,-0.01,0.06,0.07596296296296297,,ET
2024-01-08,101,CA_299395,75,0.06,0.16,-0.34,-0.06,0.48,0.4206111111111111,,ET
2024-01-08,102,CA_299467,75,0.06,0.13,-0.34,-0.01,0.38,0.28883333333333333,,ET
2024-01-08,103,CA_300271,75,0.06,0.09,0.5,-0.06,-1.0,0.08546296296296296,,ET
2024-01-08,104,CA_300581,75,0.05,0.11,0.45,-0.05,-1.0,0.09105555555555556,,ET
2024-01-08,105,CA_300893,75,0.03,0.08,-0.39,0.01,0.32,0.17068518518518516,,ET
2024-01-08,106,CA_301734,75,0.04,0.09,0.63,-0.04,-1.0,0.10455555555555553,,ET
2024-01-08,107,CA_301986,75,0.05,0.09,-0.46,0.02,-0.38,0.10203703703703705,,ET
2024-01-08,108,CA_302388,75,0.22,0.28,-0.77,0.22,-1.0,0.2001666666666667,,ET
2024-01-08,109,CA_302578,75,0.03,0.09,-0.13,0.01,-0.12,0.11435185185185191,,ET
2024-01-08,110,CA_302669,72,0.06,0.11,-0.29,0.06,-0.43,0.11914814814814817,,ET
2024-01-08,111,CA_303433,72,0.11,0.19,-0.64,-0.11,-1.0,0.1143333333333333,,ET
2024-01-08,112,CA_303972,47,0.03,0.08,-0.28,0.03,-0.3,0.10816666666666665,,ET
