forecasting_date,level_1,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-09-18,350,CA_250527,47,0.5,0.44,,-0.5,-1.0,ETof
2024-09-18,351,CA_250543,47,0.49,0.47,,-0.49,-0.21,ETof
2024-09-18,352,CA_250568,69,0.4,0.22,,-0.11,0.59,ETof
2024-09-18,353,CA_250576,69,0.51,0.35,,-0.51,0.1,ETof
2024-09-18,354,CA_250606,47,0.16,0.16,,-0.16,0.89,ETof
2024-09-18,355,CA_250608,69,0.14,0.1,,0.14,0.77,ETof
2024-09-18,356,CA_250617,69,0.43,0.25,,0.43,0.12,ETof
2024-09-18,357,CA_250625,61,0.36,0.2,,-0.36,-0.06,ETof
2024-09-18,358,CA_250626,69,0.82,0.3,,-0.82,-1.0,ETof
2024-09-18,359,CA_250660,69,1.0,0.61,0.0,-1.0,-1.0,ETof
2024-09-18,360,CA_250673,47,0.22,0.09,,-0.22,0.99,ETof
2024-09-18,361,CA_250696,47,0.21,0.16,,0.16,-1.0,ETof
2024-09-18,362,CA_250757,47,0.28,0.25,-0.0,-0.28,0.48,ETof
2024-09-18,363,CA_250774,47,0.43,0.27,,-0.06,-0.79,ETof
2024-09-18,364,CA_250791,69,0.39,0.31,,-0.39,-0.68,ETof
2024-09-18,365,CA_250803,47,0.66,0.44,,0.66,-1.0,ETof
2024-09-18,366,CA_250863,47,0.09,0.14,,-0.07,0.7,ETof
2024-09-18,367,CA_250898,47,0.27,0.21,,0.27,-1.0,ETof
2024-09-18,368,CA_250911,69,0.3,0.21,,-0.3,-0.64,ETof
