forecasting_date,match_window,match_variable,level_3,field_id,crop,mae,rmse,corr,bias,skill_score,variable
2024-06-03,180,ndvi,15,CA_305684,204,0.08,0.07,0.99,-0.08,0.44,ETof
2024-06-03,180,ndvi,16,CA_306027,204,0.03,0.04,-0.99,-0.02,0.98,ETof
2024-06-03,180,ndvi,17,CA_306521,204,0.2,0.18,0.97,-0.2,0.77,ETof
2024-06-03,180,ndvi,18,CA_307370,204,0.07,0.08,-0.99,-0.06,-1.0,ETof
2024-06-03,180,ndvi,19,CA_307376,204,0.14,0.11,0.98,-0.14,-0.11,ETof
2024-06-03,180,ndvi,20,CA_307472,204,0.23,0.2,-0.41,-0.23,0.42,ETof
2024-06-03,180,ndvi,21,CA_307774,204,0.02,0.02,0.99,-0.02,0.94,ETof
2024-06-03,180,ndvi,22,CA_32080,75,0.91,0.61,-0.32,0.91,0.07,ETof
2024-06-03,180,ndvi,23,CA_32260,61,0.67,0.47,-0.67,-0.67,-1.0,ETof
2024-06-03,180,ndvi,24,CA_32418,47,0.14,0.13,0.12,0.14,-1.0,ETof
2024-06-03,180,ndvi,25,CA_32637,47,0.03,0.03,0.94,0.03,0.73,ETof
2024-06-03,180,ndvi,26,CA_32667,61,0.14,0.13,1.0,0.14,-1.0,ETof
2024-06-03,180,ndvi,27,CA_35772,36,0.03,0.03,1.0,-0.02,0.9,ETof
2024-06-03,180,ndvi,28,CA_36095,61,0.39,0.36,1.0,-0.39,-1.0,ETof
2024-06-03,180,ndvi,29,CA_36121,47,0.02,0.02,1.0,-0.02,1.0,ETof
2024-06-03,180,ndvi,30,CA_36281,61,0.09,0.07,-0.97,-0.09,0.98,ETof
2024-06-03,180,ndvi,31,CA_36850,61,0.24,0.2,-0.95,-0.24,-1.0,ETof
2024-06-03,180,ndvi,32,CA_36898,37,0.04,0.03,0.96,0.04,-1.0,ETof
2024-06-03,180,ndvi,33,CA_36982,241,0.23,0.22,1.0,0.23,-1.0,ETof
2024-06-03,180,ndvi,34,CA_37400,61,0.24,0.2,0.99,-0.24,0.81,ETof
2024-06-03,180,ndvi,35,CA_37674,47,0.19,0.16,1.0,-0.19,-1.0,ETof
2024-06-03,180,ndvi,36,CA_37683,61,0.11,0.08,-0.98,-0.1,0.95,ETof
2024-06-03,180,ndvi,37,CA_37890,241,0.15,0.15,0.99,-0.15,0.59,ETof
2024-06-03,180,ndvi,38,CA_38650,47,1.06,0.84,1.0,1.06,-1.0,ETof
2024-06-03,180,ndvi,39,CA_38734,204,0.04,0.03,1.0,-0.04,0.98,ETof
2024-06-03,180,ndvi,40,CA_38912,69,0.21,0.19,-0.99,-0.21,0.61,ETof
2024-06-03,180,ndvi,41,CA_39031,69,0.15,0.12,1.0,0.15,0.76,ETof
2024-06-03,180,ndvi,42,CA_39032,69,0.3,0.25,-0.99,-0.3,-1.0,ETof
2024-06-03,180,ndvi,43,CA_39770,69,0.03,0.03,-1.0,0.03,0.98,ETof
2024-06-03,180,ndvi,44,CA_40009,69,0.44,0.41,-1.0,-0.44,-0.28,ETof
2024-06-03,180,ndvi,45,CA_41244,69,0.04,0.04,-0.89,0.02,0.52,ETof
2024-06-03,180,ndvi,46,CA_41458,69,0.1,0.11,-0.88,0.05,-1.0,ETof
2024-06-03,180,ndvi,47,CA_41682,69,0.13,0.1,1.0,-0.13,-1.0,ETof
2024-06-03,180,ndvi,48,CA_42021,69,0.02,0.02,1.0,-0.02,0.52,ETof
2024-06-03,180,ndvi,49,CA_42143,69,0.32,0.27,1.0,-0.32,-1.0,ETof
2024-06-03,180,ndvi,50,CA_298397,75,0.43,0.99,0.39,-0.43,-1.0,ETo
2024-06-03,180,ndvi,51,CA_299395,75,0.42,0.94,0.52,-0.42,-1.0,ETo
2024-06-03,180,ndvi,52,CA_299467,75,0.42,0.93,0.46,-0.42,-1.0,ETo
2024-06-03,180,ndvi,53,CA_300271,75,0.35,0.81,0.1,-0.35,-1.0,ETo
2024-06-03,180,ndvi,54,CA_300581,75,0.11,0.27,0.53,-0.04,0.06,ETo
2024-06-03,180,ndvi,55,CA_300893,75,0.35,0.79,-0.08,-0.35,-1.0,ETo
2024-06-03,180,ndvi,56,CA_301734,75,0.11,0.32,-0.46,-0.08,-0.35,ETo
2024-06-03,180,ndvi,57,CA_301986,75,0.35,0.78,-0.07,-0.35,-1.0,ETo
2024-06-03,180,ndvi,58,CA_302388,75,0.08,0.25,0.37,0.03,-0.03,ETo
2024-06-03,180,ndvi,59,CA_302578,75,0.15,0.36,0.34,0.15,-1.0,ETo
2024-06-03,180,ndvi,60,CA_302669,72,0.4,0.93,0.22,-0.4,-1.0,ETo
2024-06-03,180,ndvi,61,CA_303433,72,0.35,0.78,-0.15,-0.35,-1.0,ETo
2024-06-03,180,ndvi,62,CA_303972,47,0.39,0.91,-0.11,-0.39,-1.0,ETo
2024-06-03,180,ndvi,63,CA_304258,72,0.32,0.71,0.04,-0.32,-1.0,ETo
2024-06-03,180,ndvi,64,CA_304688,72,0.38,0.86,0.01,-0.38,-1.0,ETo
2024-06-03,180,ndvi,65,CA_305684,204,0.14,0.35,-0.31,0.01,-1.0,ETo
2024-06-03,180,ndvi,66,CA_306027,204,0.11,0.25,0.31,0.1,-1.0,ETo
2024-06-03,180,ndvi,67,CA_306521,204,0.28,0.59,-0.14,-0.28,-1.0,ETo
2024-06-03,180,ndvi,68,CA_307370,204,0.21,0.57,-0.49,0.09,-1.0,ETo
2024-06-03,180,ndvi,69,CA_307376,204,0.21,0.57,-0.49,0.09,-1.0,ETo
2024-06-03,180,ndvi,70,CA_307472,204,0.11,0.29,-0.3,-0.04,-0.18,ETo
2024-06-03,180,ndvi,71,CA_307774,204,0.1,0.24,0.02,0.1,-1.0,ETo
2024-06-03,180,ndvi,72,CA_32080,75,0.18,0.44,0.05,0.03,0.04,ETo
2024-06-03,180,ndvi,73,CA_32260,61,0.4,0.89,0.85,-0.4,-1.0,ETo
2024-06-03,180,ndvi,74,CA_32418,47,0.16,0.38,0.61,-0.08,-0.04,ETo
2024-06-03,180,ndvi,75,CA_32637,47,0.24,0.55,-0.66,-0.11,-0.41,ETo
2024-06-03,180,ndvi,76,CA_32667,61,0.17,0.4,-0.41,-0.08,-0.36,ETo
2024-06-03,180,ndvi,77,CA_35772,36,0.43,1.0,-0.93,-0.06,-1.0,ETo
2024-06-03,180,ndvi,78,CA_36095,61,0.4,0.9,-0.93,-0.09,-1.0,ETo
2024-06-03,180,ndvi,79,CA_36121,47,0.41,0.88,0.86,-0.41,-1.0,ETo
2024-06-03,180,ndvi,80,CA_36281,61,0.41,0.88,0.82,-0.41,-1.0,ETo
2024-06-03,180,ndvi,81,CA_36850,61,0.11,0.27,0.86,-0.05,0.56,ETo
2024-06-03,180,ndvi,82,CA_36898,37,0.29,0.63,0.86,-0.29,-1.0,ETo
2024-06-03,180,ndvi,83,CA_36982,241,0.14,0.33,0.53,0.01,0.31,ETo
2024-06-03,180,ndvi,84,CA_37400,61,0.4,0.9,0.8,-0.4,-1.0,ETo
2024-06-03,180,ndvi,85,CA_37674,47,0.41,0.87,0.52,-0.41,-1.0,ETo
2024-06-03,180,ndvi,86,CA_37683,61,0.38,0.86,0.87,-0.38,-1.0,ETo
2024-06-03,180,ndvi,87,CA_37890,241,0.13,0.31,0.21,0.02,0.19,ETo
2024-06-03,180,ndvi,88,CA_38650,47,0.22,0.51,0.85,-0.22,-1.0,ETo
2024-06-03,180,ndvi,89,CA_38734,204,0.38,0.87,-0.92,-0.06,-1.0,ETo
2024-06-03,180,ndvi,90,CA_38912,69,0.19,0.47,0.61,-0.18,-1.0,ETo
2024-06-03,180,ndvi,91,CA_39031,69,0.09,0.24,0.73,0.02,0.47,ETo
2024-06-03,180,ndvi,92,CA_39032,69,0.2,0.48,0.66,-0.2,-1.0,ETo
2024-06-03,180,ndvi,93,CA_39770,69,0.11,0.29,0.65,-0.08,0.28,ETo
2024-06-03,180,ndvi,94,CA_40009,69,0.1,0.26,0.83,-0.01,0.57,ETo
2024-06-03,180,ndvi,95,CA_41244,69,0.37,0.84,-0.92,-0.08,-1.0,ETo
2024-06-03,180,ndvi,96,CA_41458,69,0.14,0.32,0.81,-0.06,-0.12,ETo
2024-06-03,180,ndvi,97,CA_41682,69,0.15,0.39,0.28,0.04,0.12,ETo
2024-06-03,180,ndvi,98,CA_42021,69,0.08,0.25,0.77,0.02,0.43,ETo
2024-06-03,180,ndvi,99,CA_42143,69,0.31,0.71,-0.7,0.01,-1.0,ETo
2024-06-03,180,ndvi,100,CA_298397,75,0.2,0.3,0.13,-0.2,0.41,ET
2024-06-03,180,ndvi,101,CA_299395,75,0.56,1.18,0.53,-0.56,0.12,ET
2024-06-03,180,ndvi,102,CA_299467,75,0.45,0.88,-0.11,0.45,-1.0,ET
2024-06-03,180,ndvi,103,CA_300271,75,0.36,0.57,-0.51,-0.36,-1.0,ET
2024-06-03,180,ndvi,104,CA_300581,75,0.36,0.72,0.59,-0.36,0.56,ET
2024-06-03,180,ndvi,105,CA_300893,75,0.45,1.0,0.04,-0.45,-0.24,ET
2024-06-03,180,ndvi,106,CA_301734,75,0.24,0.59,-0.55,-0.24,-0.47,ET
2024-06-03,180,ndvi,107,CA_301986,75,0.71,1.13,-0.2,-0.71,-1.0,ET
2024-06-03,180,ndvi,108,CA_302388,75,0.51,0.65,0.12,0.51,-0.28,ET
2024-06-03,180,ndvi,109,CA_302578,75,0.07,0.17,0.26,-0.05,0.58,ET
2024-06-03,180,ndvi,110,CA_302669,72,0.78,1.2,0.35,-0.78,-0.8,ET
2024-06-03,180,ndvi,111,CA_303433,72,0.12,0.21,0.25,-0.1,0.97,ET
2024-06-03,180,ndvi,112,CA_303972,47,0.4,0.74,0.12,-0.4,-0.54,ET
2024-06-03,180,ndvi,113,CA_304258,72,0.29,0.61,0.26,-0.29,-1.0,ET
2024-06-03,180,ndvi,114,CA_304688,72,0.3,0.64,0.33,-0.3,-1.0,ET
2024-06-03,180,ndvi,115,CA_305684,204,0.16,0.34,-0.46,-0.13,0.39,ET
2024-06-03,180,ndvi,116,CA_306027,204,0.09,0.21,0.3,0.06,0.93,ET
2024-06-03,180,ndvi,117,CA_306521,204,0.53,0.97,0.05,-0.53,0.44,ET
2024-06-03,180,ndvi,118,CA_307370,204,0.3,0.72,-0.65,0.01,-1.0,ET
2024-06-03,180,ndvi,119,CA_307376,204,0.31,0.52,-0.43,-0.13,-0.84,ET
2024-06-03,180,ndvi,120,CA_307472,204,0.41,0.8,-0.6,-0.41,0.28,ET
2024-06-03,180,ndvi,121,CA_307774,204,0.06,0.12,0.6,0.05,0.62,ET
2024-06-03,180,ndvi,122,CA_32080,75,1.49,2.11,-0.0,1.49,-0.26,ET
2024-06-03,180,ndvi,123,CA_32260,61,1.0,1.6,0.51,-1.0,-1.0,ET
2024-06-03,180,ndvi,124,CA_32418,47,0.19,0.43,0.65,0.17,-0.86,ET
2024-06-03,180,ndvi,125,CA_32637,47,0.22,0.48,-0.49,-0.07,0.21,ET
2024-06-03,180,ndvi,126,CA_32667,61,0.17,0.41,0.59,0.13,-0.23,ET
2024-06-03,180,ndvi,127,CA_35772,36,0.4,0.77,-0.84,-0.07,-1.0,ET
2024-06-03,180,ndvi,128,CA_36095,61,0.76,1.49,-0.99,-0.76,-1.0,ET
2024-06-03,180,ndvi,129,CA_36121,47,0.43,0.9,0.88,-0.43,0.57,ET
2024-06-03,180,ndvi,130,CA_36281,61,0.56,1.0,0.85,-0.56,0.71,ET
2024-06-03,180,ndvi,131,CA_36850,61,0.45,0.76,0.77,-0.45,-1.0,ET
2024-06-03,180,ndvi,132,CA_36898,37,0.19,0.35,0.9,-0.19,-0.07,ET
2024-06-03,180,ndvi,133,CA_36982,241,0.42,0.78,0.45,0.42,-1.0,ET
2024-06-03,180,ndvi,134,CA_37400,61,0.67,1.15,0.9,-0.67,0.52,ET
2024-06-03,180,ndvi,135,CA_37674,47,0.64,1.04,0.72,-0.64,-1.0,ET
2024-06-03,180,ndvi,136,CA_37683,61,0.3,0.42,-0.11,-0.3,0.89,ET
2024-06-03,180,ndvi,137,CA_37890,241,0.23,0.55,0.35,-0.21,0.66,ET
2024-06-03,180,ndvi,138,CA_38650,47,2.0,2.75,0.71,2.0,-1.0,ET
